file,n_points,n_segments,min_label,max_label,labels,has_nan
valve_0002_lidar_classes.ply,5843,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0003_lidar_classes.ply,5885,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0004_lidar_classes.ply,5610,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0005_lidar_classes.ply,5595,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0006_lidar_classes.ply,5702,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0007_lidar_classes.ply,5910,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0008_lidar_classes.ply,5815,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0009_lidar_classes.ply,5782,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0010_lidar_classes.ply,5705,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0011_lidar_classes.ply,5807,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0012_lidar_classes.ply,6033,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0013_lidar_classes.ply,5996,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0014_lidar_classes.ply,5822,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0015_lidar_classes.ply,5901,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0016_lidar_classes.ply,5901,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0017_lidar_classes.ply,5760,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0018_lidar_classes.ply,5796,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0019_lidar_classes.ply,5909,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0020_lidar_classes.ply,5651,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0021_lidar_classes.ply,5925,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0022_lidar_classes.ply,5739,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0023_lidar_classes.ply,5651,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0024_lidar_classes.ply,5841,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0025_lidar_classes.ply,5734,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0026_lidar_classes.ply,5742,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0027_lidar_classes.ply,5845,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0028_lidar_classes.ply,6033,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0030_lidar_classes.ply,6034,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0031_lidar_classes.ply,5695,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0032_lidar_classes.ply,6115,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0033_lidar_classes.ply,5872,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0034_lidar_classes.ply,5919,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0035_lidar_classes.ply,5659,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0036_lidar_classes.ply,5542,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0037_lidar_classes.ply,5738,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0038_lidar_classes.ply,6020,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0039_lidar_classes.ply,5645,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0040_lidar_classes.ply,5761,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0041_lidar_classes.ply,6052,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0042_lidar_classes.ply,5672,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0043_lidar_classes.ply,5787,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0044_lidar_classes.ply,5881,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0045_lidar_classes.ply,5702,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0046_lidar_classes.ply,5865,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0047_lidar_classes.ply,5920,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0048_lidar_classes.ply,6010,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0049_lidar_classes.ply,5881,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0050_lidar_classes.ply,5962,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0051_lidar_classes.ply,5961,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0052_lidar_classes.ply,5663,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0053_lidar_classes.ply,5892,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0054_lidar_classes.ply,5713,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0055_lidar_classes.ply,5966,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0056_lidar_classes.ply,5863,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0057_lidar_classes.ply,5625,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0058_lidar_classes.ply,5905,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0059_lidar_classes.ply,5921,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0060_lidar_classes.ply,5891,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0061_lidar_classes.ply,5777,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0062_lidar_classes.ply,5846,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0063_lidar_classes.ply,5816,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0064_lidar_classes.ply,5935,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0065_lidar_classes.ply,5821,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0066_lidar_classes.ply,5941,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0068_lidar_classes.ply,5899,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0069_lidar_classes.ply,5620,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0070_lidar_classes.ply,5708,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0071_lidar_classes.ply,5738,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0072_lidar_classes.ply,5801,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0073_lidar_classes.ply,6078,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0074_lidar_classes.ply,5773,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0075_lidar_classes.ply,5776,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0076_lidar_classes.ply,5895,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0077_lidar_classes.ply,5974,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0078_lidar_classes.ply,5700,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0079_lidar_classes.ply,5677,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0080_lidar_classes.ply,5888,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0081_lidar_classes.ply,5850,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0082_lidar_classes.ply,5915,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0084_lidar_classes.ply,5977,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0085_lidar_classes.ply,5887,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0086_lidar_classes.ply,5738,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0087_lidar_classes.ply,5739,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0088_lidar_classes.ply,5628,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0089_lidar_classes.ply,6018,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0090_lidar_classes.ply,5930,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0091_lidar_classes.ply,5826,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0092_lidar_classes.ply,6049,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0093_lidar_classes.ply,5986,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0094_lidar_classes.ply,5873,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0095_lidar_classes.ply,5995,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0096_lidar_classes.ply,5817,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0097_lidar_classes.ply,5820,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0098_lidar_classes.ply,5728,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0099_lidar_classes.ply,5921,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0100_lidar_classes.ply,5947,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0101_lidar_classes.ply,5642,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0102_lidar_classes.ply,5742,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0103_lidar_classes.ply,5799,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0104_lidar_classes.ply,6017,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0105_lidar_classes.ply,5872,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0106_lidar_classes.ply,5840,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0107_lidar_classes.ply,5927,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0108_lidar_classes.ply,6074,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0109_lidar_classes.ply,5707,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0110_lidar_classes.ply,5897,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0111_lidar_classes.ply,5880,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0112_lidar_classes.ply,5659,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0113_lidar_classes.ply,5942,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0114_lidar_classes.ply,5878,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0115_lidar_classes.ply,5780,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0116_lidar_classes.ply,5833,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0117_lidar_classes.ply,5721,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0118_lidar_classes.ply,5963,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0119_lidar_classes.ply,5676,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0120_lidar_classes.ply,5701,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0121_lidar_classes.ply,5876,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0122_lidar_classes.ply,5736,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0123_lidar_classes.ply,5809,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0124_lidar_classes.ply,5702,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0125_lidar_classes.ply,5839,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0126_lidar_classes.ply,5843,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0127_lidar_classes.ply,5989,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0128_lidar_classes.ply,5993,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0129_lidar_classes.ply,5856,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0130_lidar_classes.ply,5872,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0131_lidar_classes.ply,5878,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0132_lidar_classes.ply,5852,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0133_lidar_classes.ply,5940,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0134_lidar_classes.ply,5839,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0136_lidar_classes.ply,5826,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0137_lidar_classes.ply,5797,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0138_lidar_classes.ply,5788,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0139_lidar_classes.ply,5709,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0140_lidar_classes.ply,5868,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0141_lidar_classes.ply,5587,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0142_lidar_classes.ply,6026,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0143_lidar_classes.ply,5814,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0144_lidar_classes.ply,5704,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0145_lidar_classes.ply,6031,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0146_lidar_classes.ply,5716,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0147_lidar_classes.ply,6002,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0148_lidar_classes.ply,5814,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0149_lidar_classes.ply,5766,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0150_lidar_classes.ply,5994,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0151_lidar_classes.ply,5730,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0152_lidar_classes.ply,5830,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0154_lidar_classes.ply,5728,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0155_lidar_classes.ply,6120,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0156_lidar_classes.ply,5944,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0157_lidar_classes.ply,5951,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0158_lidar_classes.ply,5848,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0159_lidar_classes.ply,5633,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0160_lidar_classes.ply,5884,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0161_lidar_classes.ply,5668,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0162_lidar_classes.ply,5643,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0163_lidar_classes.ply,5854,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0164_lidar_classes.ply,5716,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0165_lidar_classes.ply,5651,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
